Date,Time (UTC),Exchange,Symbol,Side,Quantity,Price,Total USD,Fee (est.),Net Amount,Order ID,Mode,Notes
2026-05-24,09:02:16,BitGet,CRVUSDT,,,0.23,,,,BLOCKED,BLOCKED,"Failed: Market bias"
2026-05-24,09:02:17,BitGet,THETAUSDT,,,0.20,,,,BLOCKED,BLOCKED,"Failed: RSI(14) below 30 (pullback in uptrend)"
2026-05-24,09:02:17,BitGet,JASMYUSDT,,,0.01,,,,BLOCKED,BLOCKED,"Failed: Market bias"
2026-05-24,09:02:17,BitGet,ONDOUSDT,,,0.44,,,,BLOCKED,BLOCKED,"Failed: RSI(14) below 30 (pullback in uptrend); Price within 1.5% of VWAP (not overextended)"
2026-05-24,09:02:18,BitGet,RUNEUSDT,,,0.45,,,,BLOCKED,BLOCKED,"Failed: RSI(14) below 30 (pullback in uptrend)"
2026-05-24,09:02:18,BitGet,SANDUSDT,,,0.07,,,,BLOCKED,BLOCKED,"Failed: RSI(14) below 30 (pullback in uptrend)"
2026-05-24,09:02:18,BitGet,MANAUSDT,,,0.09,,,,BLOCKED,BLOCKED,"Failed: RSI(14) above 70 (overbought reversal in downtrend)"
2026-05-24,09:02:19,BitGet,ENAUSDT,,,0.10,,,,BLOCKED,BLOCKED,"Failed: Market bias"
2026-05-24,09:02:19,BitGet,LDOUSDT,,,0.35,,,,BLOCKED,BLOCKED,"Failed: Market bias"
2026-05-24,09:02:19,BitGet,SEIUSDT,,,0.06,,,,BLOCKED,BLOCKED,"Failed: RSI(14) below 30 (pullback in uptrend)"
2026-05-24,09:02:20,BitGet,TIAUSDT,,,0.43,,,,BLOCKED,BLOCKED,"Failed: RSI(14) below 30 (pullback in uptrend)"
2026-05-24,10:02:01,BitGet,BTCUSDT,,,76943.60,,,,BLOCKED,BLOCKED,"Failed: RSI(14) below 30 (pullback in uptrend)"
2026-05-24,10:02:02,BitGet,ETHUSDT,,,2120.72,,,,BLOCKED,BLOCKED,"Failed: Market bias"
2026-05-24,10:02:02,BitGet,SOLUSDT,,,86.45,,,,BLOCKED,BLOCKED,"Failed: RSI(14) below 30 (pullback in uptrend)"
2026-05-24,10:02:03,BitGet,XRPUSDT,,,1.36,,,,BLOCKED,BLOCKED,"Failed: RSI(14) below 30 (pullback in uptrend)"
2026-05-24,10:02:03,BitGet,BNBUSDT,,,659.41,,,,BLOCKED,BLOCKED,"Failed: RSI(14) below 30 (pullback in uptrend)"
2026-05-24,10:02:03,BitGet,DOGEUSDT,BUY,968.898363,0.10,100.00,0.1000,99.90,PAPER-1779616923746,PAPER,"All conditions met"
2026-05-24,10:02:04,BitGet,LINKUSDT,,,9.60,,,,BLOCKED,BLOCKED,"Failed: RSI(14) below 30 (pullback in uptrend)"
2026-05-24,10:02:04,BitGet,SUIUSDT,,,1.06,,,,BLOCKED,BLOCKED,"Failed: Market bias"
2026-05-24,10:02:04,BitGet,LTCUSDT,BUY,1.869858,53.48,100.00,0.1000,99.90,PAPER-1779616924794,PAPER,"All conditions met"
2026-05-24,10:02:05,BitGet,AVAXUSDT,,,9.34,,,,BLOCKED,BLOCKED,"Failed: Market bias"
2026-05-24,10:02:05,BitGet,HBARUSDT,,,0.09,,,,BLOCKED,BLOCKED,"Failed: Market bias"
2026-05-24,10:02:05,BitGet,ADAUSDT,,,0.25,,,,BLOCKED,BLOCKED,"Failed: Market bias"
2026-05-24,10:02:06,BitGet,TRXUSDT,,,0.36,,,,BLOCKED,BLOCKED,"Failed: RSI(14) below 30 (pullback in uptrend)"
2026-05-24,10:02:06,BitGet,TONUSDT,,,1.78,,,,BLOCKED,BLOCKED,"Failed: RSI(14) above 70 (overbought reversal in downtrend)"
2026-05-24,10:02:06,BitGet,SHIBUSDT,,,0.00,,,,BLOCKED,BLOCKED,"Failed: RSI(14) above 70 (overbought reversal in downtrend)"
2026-05-24,10:02:07,BitGet,DOTUSDT,,,1.28,,,,BLOCKED,BLOCKED,"Failed: Market bias"
2026-05-24,10:02:07,BitGet,BCHUSDT,,,353.20,,,,BLOCKED,BLOCKED,"Failed: RSI(14) above 70 (overbought reversal in downtrend)"
2026-05-24,10:02:08,BitGet,UNIUSDT,BUY,28.901734,3.46,100.00,0.1000,99.90,PAPER-1779616928041,PAPER,"All conditions met"
2026-05-24,10:02:08,BitGet,NEARUSDT,,,2.36,,,,BLOCKED,BLOCKED,"Failed: Market bias"
2026-05-24,10:02:08,BitGet,APTUSDT,BUY,103.734440,0.96,100.00,0.1000,99.90,PAPER-1779616928740,PAPER,"All conditions met"
2026-05-24,10:02:09,BitGet,ICPUSDT,,,2.60,,,,BLOCKED,BLOCKED,"Failed: Market bias"
2026-05-24,10:02:09,BitGet,ETCUSDT,,,9.13,,,,BLOCKED,BLOCKED,"Failed: RSI(14) below 30 (pullback in uptrend)"
2026-05-24,10:02:09,BitGet,POLUSDT,,,0.09,,,,BLOCKED,BLOCKED,"Failed: RSI(14) below 30 (pullback in uptrend)"
2026-05-24,10:02:10,BitGet,VETUSDT,,,0.01,,,,BLOCKED,BLOCKED,"Failed: Market bias"
2026-05-24,10:02:10,BitGet,ATOMUSDT,,,2.12,,,,BLOCKED,BLOCKED,"Failed: RSI(14) below 30 (pullback in uptrend)"
2026-05-24,10:02:10,BitGet,OPUSDT,BUY,775.193798,0.13,100.00,0.1000,99.90,PAPER-1779616930910,PAPER,"All conditions met"
2026-05-24,10:02:11,BitGet,ARBUSDT,,,0.11,,,,BLOCKED,BLOCKED,"Failed: RSI(14) above 70 (overbought reversal in downtrend)"
2026-05-24,10:02:11,BitGet,FILUSDT,,,0.97,,,,BLOCKED,BLOCKED,"Failed: RSI(14) above 70 (overbought reversal in downtrend)"
2026-05-24,10:02:11,BitGet,ALGOUSDT,,,0.11,,,,BLOCKED,BLOCKED,"Failed: RSI(14) above 70 (overbought reversal in downtrend)"
2026-05-24,10:02:12,BitGet,INJUSDT,,,5.20,,,,BLOCKED,BLOCKED,"Failed: RSI(14) above 70 (overbought reversal in downtrend)"
2026-05-24,10:02:12,BitGet,BONKUSDT,,,0.00,,,,BLOCKED,BLOCKED,"Failed: Market bias"
2026-05-24,10:02:13,BitGet,GRTUSDT,,,0.03,,,,BLOCKED,BLOCKED,"Failed: RSI(14) above 70 (overbought reversal in downtrend)"
2026-05-24,10:02:13,BitGet,PEPEUSDT,,,0.00,,,,BLOCKED,BLOCKED,"Failed: RSI(14) above 70 (overbought reversal in downtrend)"
2026-05-24,10:02:13,BitGet,WLDUSDT,,,0.31,,,,BLOCKED,BLOCKED,"Failed: RSI(14) below 30 (pullback in uptrend); Price within 1.5% of VWAP (not overextended)"
2026-05-24,10:02:14,BitGet,AAVEUSDT,BUY,1.150351,86.93,100.00,0.1000,99.90,PAPER-1779616934334,PAPER,"All conditions met"
2026-05-24,10:02:14,BitGet,TAOUSDT,,,280.80,,,,BLOCKED,BLOCKED,"Failed: RSI(14) below 30 (pullback in uptrend)"
2026-05-24,10:02:15,BitGet,RENDERUSDT,,,1.98,,,,BLOCKED,BLOCKED,"Failed: Market bias"
2026-05-24,10:02:15,BitGet,FETUSDT,,,0.21,,,,BLOCKED,BLOCKED,"Failed: RSI(14) below 30 (pullback in uptrend)"
2026-05-24,10:02:15,BitGet,STXUSDT,BUY,405.186386,0.25,100.00,0.1000,99.90,PAPER-1779616935762,PAPER,"All conditions met"
2026-05-24,10:02:16,BitGet,CRVUSDT,,,0.23,,,,BLOCKED,BLOCKED,"Failed: RSI(14) above 70 (overbought reversal in downtrend)"
2026-05-24,10:02:16,BitGet,THETAUSDT,,,0.20,,,,BLOCKED,BLOCKED,"Failed: RSI(14) above 70 (overbought reversal in downtrend)"
2026-05-24,10:02:16,BitGet,JASMYUSDT,BUY,17921.146953,0.01,100.00,0.1000,99.90,PAPER-1779616936915,PAPER,"All conditions met"
2026-05-24,10:02:17,BitGet,ONDOUSDT,,,0.44,,,,BLOCKED,BLOCKED,"Failed: RSI(14) below 30 (pullback in uptrend)"
2026-05-24,10:02:17,BitGet,RUNEUSDT,,,0.45,,,,BLOCKED,BLOCKED,"Failed: RSI(14) below 30 (pullback in uptrend)"
2026-05-24,10:02:18,BitGet,SANDUSDT,BUY,1399.384271,0.07,100.00,0.1000,99.90,PAPER-1779616938036,PAPER,"All conditions met"
2026-05-24,10:02:18,BitGet,MANAUSDT,,,0.09,,,,BLOCKED,BLOCKED,"Failed: RSI(14) above 70 (overbought reversal in downtrend)"
2026-05-24,10:02:18,BitGet,ENAUSDT,,,0.10,,,,BLOCKED,BLOCKED,"Failed: Market bias"
2026-05-24,10:02:19,BitGet,LDOUSDT,,,0.35,,,,BLOCKED,BLOCKED,"Failed: RSI(14) below 30 (pullback in uptrend)"
2026-05-24,10:02:19,BitGet,SEIUSDT,,,0.06,,,,BLOCKED,BLOCKED,"Failed: RSI(14) below 30 (pullback in uptrend)"
2026-05-24,10:02:19,BitGet,TIAUSDT,BUY,233.372229,0.43,100.00,0.1000,99.90,PAPER-1779616939892,PAPER,"All conditions met"
2026-05-24,22:17:26,BitGet,BTCUSDT,,,76882.27,,,,BLOCKED,BLOCKED,"Failed: RSI(14) below 30 (pullback in uptrend)"
2026-05-24,22:17:26,BitGet,ETHUSDT,,,2095.89,,,,BLOCKED,BLOCKED,"Failed: RSI(14) above 70 (overbought reversal in downtrend)"
2026-05-24,22:17:27,BitGet,SOLUSDT,,,85.15,,,,BLOCKED,BLOCKED,"Failed: RSI(14) above 70 (overbought reversal in downtrend)"
2026-05-24,22:17:27,BitGet,XRPUSDT,,,1.35,,,,BLOCKED,BLOCKED,"Failed: RSI(14) above 70 (overbought reversal in downtrend)"
2026-05-24,22:17:27,BitGet,BNBUSDT,,,655.36,,,,BLOCKED,BLOCKED,"Failed: RSI(14) above 70 (overbought reversal in downtrend)"
2026-05-24,22:17:28,BitGet,DOGEUSDT,,,0.10,,,,BLOCKED,BLOCKED,"Failed: RSI(14) above 70 (overbought reversal in downtrend)"
2026-05-24,22:17:28,BitGet,LINKUSDT,,,9.41,,,,BLOCKED,BLOCKED,"Failed: RSI(14) above 70 (overbought reversal in downtrend)"
2026-05-24,22:17:28,BitGet,SUIUSDT,,,1.03,,,,BLOCKED,BLOCKED,"Failed: RSI(14) above 70 (overbought reversal in downtrend); Price within 1.5% of VWAP (not overextended)"
2026-05-24,22:17:29,BitGet,LTCUSDT,,,52.70,,,,BLOCKED,BLOCKED,"Failed: RSI(14) above 70 (overbought reversal in downtrend)"
2026-05-24,22:17:29,BitGet,AVAXUSDT,,,9.20,,,,BLOCKED,BLOCKED,"Failed: RSI(14) above 70 (overbought reversal in downtrend)"
2026-05-24,22:17:29,BitGet,HBARUSDT,,,0.09,,,,BLOCKED,BLOCKED,"Failed: RSI(14) above 70 (overbought reversal in downtrend)"
2026-05-24,22:17:30,BitGet,ADAUSDT,,,0.24,,,,BLOCKED,BLOCKED,"Failed: RSI(14) above 70 (overbought reversal in downtrend)"
2026-05-24,22:17:30,BitGet,TRXUSDT,,,0.37,,,,BLOCKED,BLOCKED,"Failed: RSI(14) below 30 (pullback in uptrend)"
2026-05-24,22:17:30,BitGet,TONUSDT,,,1.76,,,,BLOCKED,BLOCKED,"Failed: RSI(14) above 70 (overbought reversal in downtrend)"
2026-05-24,22:17:31,BitGet,SHIBUSDT,,,0.00,,,,BLOCKED,BLOCKED,"Failed: RSI(14) above 70 (overbought reversal in downtrend)"
2026-05-24,22:17:31,BitGet,DOTUSDT,,,1.25,,,,BLOCKED,BLOCKED,"Failed: RSI(14) above 70 (overbought reversal in downtrend); Price within 1.5% of VWAP (not overextended)"
2026-05-24,22:17:31,BitGet,BCHUSDT,,,344.80,,,,BLOCKED,BLOCKED,"Failed: RSI(14) above 70 (overbought reversal in downtrend)"
2026-05-24,22:17:32,BitGet,UNIUSDT,,,3.38,,,,BLOCKED,BLOCKED,"Failed: RSI(14) above 70 (overbought reversal in downtrend)"
2026-05-24,22:17:32,BitGet,NEARUSDT,,,2.43,,,,BLOCKED,BLOCKED,"Failed: RSI(14) below 30 (pullback in uptrend)"
2026-05-24,22:17:32,BitGet,APTUSDT,,,0.94,,,,BLOCKED,BLOCKED,"Failed: RSI(14) above 70 (overbought reversal in downtrend)"
2026-05-24,22:17:33,BitGet,ICPUSDT,,,2.54,,,,BLOCKED,BLOCKED,"Failed: RSI(14) above 70 (overbought reversal in downtrend)"
2026-05-24,22:17:33,BitGet,ETCUSDT,,,8.91,,,,BLOCKED,BLOCKED,"Failed: RSI(14) above 70 (overbought reversal in downtrend)"
2026-05-24,22:17:34,BitGet,POLUSDT,,,0.09,,,,BLOCKED,BLOCKED,"Failed: RSI(14) above 70 (overbought reversal in downtrend)"
2026-05-24,22:17:34,BitGet,VETUSDT,,,0.01,,,,BLOCKED,BLOCKED,"Failed: RSI(14) above 70 (overbought reversal in downtrend)"
2026-05-24,22:17:34,BitGet,ATOMUSDT,,,2.06,,,,BLOCKED,BLOCKED,"Failed: RSI(14) above 70 (overbought reversal in downtrend)"
2026-05-24,22:17:35,BitGet,OPUSDT,,,0.13,,,,BLOCKED,BLOCKED,"Failed: RSI(14) above 70 (overbought reversal in downtrend); Price within 1.5% of VWAP (not overextended)"
2026-05-24,22:17:35,BitGet,ARBUSDT,,,0.11,,,,BLOCKED,BLOCKED,"Failed: RSI(14) above 70 (overbought reversal in downtrend); Price within 1.5% of VWAP (not overextended)"
2026-05-24,22:17:35,BitGet,FILUSDT,,,0.95,,,,BLOCKED,BLOCKED,"Failed: RSI(14) above 70 (overbought reversal in downtrend)"
2026-05-24,22:17:36,BitGet,ALGOUSDT,,,0.11,,,,BLOCKED,BLOCKED,"Failed: RSI(14) above 70 (overbought reversal in downtrend)"
2026-05-24,22:17:36,BitGet,INJUSDT,,,5.17,,,,BLOCKED,BLOCKED,"Failed: RSI(14) above 70 (overbought reversal in downtrend)"
2026-05-24,22:17:36,BitGet,BONKUSDT,,,0.00,,,,BLOCKED,BLOCKED,"Failed: RSI(14) above 70 (overbought reversal in downtrend)"
2026-05-24,22:17:37,BitGet,GRTUSDT,,,0.03,,,,BLOCKED,BLOCKED,"Failed: RSI(14) above 70 (overbought reversal in downtrend); Price within 1.5% of VWAP (not overextended)"
2026-05-24,22:17:37,BitGet,PEPEUSDT,,,0.00,,,,BLOCKED,BLOCKED,"Failed: RSI(14) above 70 (overbought reversal in downtrend)"
2026-05-24,22:17:37,BitGet,WLDUSDT,,,0.29,,,,BLOCKED,BLOCKED,"Failed: RSI(14) above 70 (overbought reversal in downtrend); Price within 1.5% of VWAP (not overextended)"
2026-05-24,22:17:38,BitGet,AAVEUSDT,,,85.37,,,,BLOCKED,BLOCKED,"Failed: RSI(14) above 70 (overbought reversal in downtrend)"
2026-05-24,22:17:38,BitGet,TAOUSDT,,,274.40,,,,BLOCKED,BLOCKED,"Failed: RSI(14) above 70 (overbought reversal in downtrend)"
2026-05-24,22:17:38,BitGet,RENDERUSDT,,,2.00,,,,BLOCKED,BLOCKED,"Failed: RSI(14) below 30 (pullback in uptrend)"
2026-05-24,22:17:39,BitGet,FETUSDT,,,0.21,,,,BLOCKED,BLOCKED,"Failed: RSI(14) above 70 (overbought reversal in downtrend)"
2026-05-24,22:17:39,BitGet,STXUSDT,,,0.24,,,,BLOCKED,BLOCKED,"Failed: RSI(14) above 70 (overbought reversal in downtrend)"
2026-05-24,22:17:40,BitGet,CRVUSDT,,,0.23,,,,BLOCKED,BLOCKED,"Failed: RSI(14) above 70 (overbought reversal in downtrend)"
2026-05-24,22:17:40,BitGet,THETAUSDT,,,0.19,,,,BLOCKED,BLOCKED,"Failed: RSI(14) above 70 (overbought reversal in downtrend)"
2026-05-24,22:17:40,BitGet,JASMYUSDT,,,0.01,,,,BLOCKED,BLOCKED,"Failed: RSI(14) above 70 (overbought reversal in downtrend)"
2026-05-24,22:17:41,BitGet,ONDOUSDT,,,0.43,,,,BLOCKED,BLOCKED,"Failed: RSI(14) above 70 (overbought reversal in downtrend)"
2026-05-24,22:17:42,BitGet,RUNEUSDT,,,0.45,,,,BLOCKED,BLOCKED,"Failed: Market bias"
2026-05-24,22:17:42,BitGet,SANDUSDT,,,0.07,,,,BLOCKED,BLOCKED,"Failed: RSI(14) above 70 (overbought reversal in downtrend)"
2026-05-24,22:17:42,BitGet,MANAUSDT,,,0.09,,,,BLOCKED,BLOCKED,"Failed: RSI(14) above 70 (overbought reversal in downtrend)"
2026-05-24,22:17:43,BitGet,ENAUSDT,,,0.10,,,,BLOCKED,BLOCKED,"Failed: RSI(14) above 70 (overbought reversal in downtrend); Price within 1.5% of VWAP (not overextended)"
2026-05-24,22:17:43,BitGet,LDOUSDT,,,0.34,,,,BLOCKED,BLOCKED,"Failed: RSI(14) above 70 (overbought reversal in downtrend); Price within 1.5% of VWAP (not overextended)"
2026-05-24,22:17:43,BitGet,SEIUSDT,,,0.06,,,,BLOCKED,BLOCKED,"Failed: RSI(14) above 70 (overbought reversal in downtrend)"
2026-05-24,22:17:44,BitGet,TIAUSDT,,,0.41,,,,BLOCKED,BLOCKED,"Failed: RSI(14) above 70 (overbought reversal in downtrend); Price within 1.5% of VWAP (not overextended)"
2026-05-24,23:02:03,BitGet,BTCUSDT,,,76882.84,,,,BLOCKED,BLOCKED,"Failed: RSI(14) below 30 (pullback in uptrend)"
2026-05-24,23:02:03,BitGet,ETHUSDT,,,2093.81,,,,BLOCKED,BLOCKED,"Failed: RSI(14) above 70 (overbought reversal in downtrend)"
2026-05-24,23:02:04,BitGet,SOLUSDT,,,85.08,,,,BLOCKED,BLOCKED,"Failed: RSI(14) above 70 (overbought reversal in downtrend)"
2026-05-24,23:02:04,BitGet,XRPUSDT,,,1.35,,,,BLOCKED,BLOCKED,"Failed: RSI(14) above 70 (overbought reversal in downtrend)"
2026-05-24,23:02:04,BitGet,BNBUSDT,,,655.20,,,,BLOCKED,BLOCKED,"Failed: RSI(14) above 70 (overbought reversal in downtrend)"
2026-05-24,23:02:05,BitGet,DOGEUSDT,,,0.10,,,,BLOCKED,BLOCKED,"Failed: RSI(14) above 70 (overbought reversal in downtrend)"
2026-05-24,23:02:05,BitGet,LINKUSDT,,,9.40,,,,BLOCKED,BLOCKED,"Failed: RSI(14) above 70 (overbought reversal in downtrend)"
2026-05-24,23:02:05,BitGet,SUIUSDT,,,1.03,,,,BLOCKED,BLOCKED,"Failed: RSI(14) above 70 (overbought reversal in downtrend); Price within 1.5% of VWAP (not overextended)"
2026-05-24,23:02:06,BitGet,LTCUSDT,,,52.66,,,,BLOCKED,BLOCKED,"Failed: RSI(14) above 70 (overbought reversal in downtrend)"
2026-05-24,23:02:06,BitGet,AVAXUSDT,,,9.18,,,,BLOCKED,BLOCKED,"Failed: RSI(14) above 70 (overbought reversal in downtrend)"
2026-05-24,23:02:06,BitGet,HBARUSDT,,,0.09,,,,BLOCKED,BLOCKED,"Failed: RSI(14) above 70 (overbought reversal in downtrend)"
2026-05-24,23:02:07,BitGet,ADAUSDT,,,0.24,,,,BLOCKED,BLOCKED,"Failed: RSI(14) above 70 (overbought reversal in downtrend)"
2026-05-24,23:02:07,BitGet,TRXUSDT,,,0.37,,,,BLOCKED,BLOCKED,"Failed: RSI(14) below 30 (pullback in uptrend)"
2026-05-24,23:02:08,BitGet,TONUSDT,,,1.76,,,,BLOCKED,BLOCKED,"Failed: RSI(14) above 70 (overbought reversal in downtrend)"
2026-05-24,23:02:08,BitGet,SHIBUSDT,,,0.00,,,,BLOCKED,BLOCKED,"Failed: RSI(14) above 70 (overbought reversal in downtrend)"
2026-05-24,23:02:08,BitGet,DOTUSDT,,,1.24,,,,BLOCKED,BLOCKED,"Failed: RSI(14) above 70 (overbought reversal in downtrend); Price within 1.5% of VWAP (not overextended)"
2026-05-24,23:02:09,BitGet,BCHUSDT,,,346.40,,,,BLOCKED,BLOCKED,"Failed: RSI(14) above 70 (overbought reversal in downtrend)"
2026-05-24,23:02:09,BitGet,UNIUSDT,,,3.38,,,,BLOCKED,BLOCKED,"Failed: RSI(14) above 70 (overbought reversal in downtrend)"
2026-05-24,23:02:09,BitGet,NEARUSDT,,,2.42,,,,BLOCKED,BLOCKED,"Failed: RSI(14) below 30 (pullback in uptrend)"
2026-05-24,23:02:10,BitGet,APTUSDT,,,0.94,,,,BLOCKED,BLOCKED,"Failed: RSI(14) above 70 (overbought reversal in downtrend)"
2026-05-24,23:02:10,BitGet,ICPUSDT,,,2.55,,,,BLOCKED,BLOCKED,"Failed: RSI(14) above 70 (overbought reversal in downtrend)"
2026-05-24,23:02:10,BitGet,ETCUSDT,,,8.89,,,,BLOCKED,BLOCKED,"Failed: RSI(14) above 70 (overbought reversal in downtrend)"
2026-05-24,23:02:11,BitGet,POLUSDT,,,0.09,,,,BLOCKED,BLOCKED,"Failed: RSI(14) above 70 (overbought reversal in downtrend)"
2026-05-24,23:02:11,BitGet,VETUSDT,,,0.01,,,,BLOCKED,BLOCKED,"Failed: RSI(14) above 70 (overbought reversal in downtrend)"
2026-05-24,23:02:12,BitGet,ATOMUSDT,,,2.04,,,,BLOCKED,BLOCKED,"Failed: RSI(14) above 70 (overbought reversal in downtrend); Price within 1.5% of VWAP (not overextended)"
2026-05-24,23:02:12,BitGet,OPUSDT,,,0.13,,,,BLOCKED,BLOCKED,"Failed: RSI(14) above 70 (overbought reversal in downtrend); Price within 1.5% of VWAP (not overextended)"
2026-05-24,23:02:12,BitGet,ARBUSDT,,,0.10,,,,BLOCKED,BLOCKED,"Failed: RSI(14) above 70 (overbought reversal in downtrend); Price within 1.5% of VWAP (not overextended)"
2026-05-24,23:02:13,BitGet,FILUSDT,,,0.95,,,,BLOCKED,BLOCKED,"Failed: RSI(14) above 70 (overbought reversal in downtrend)"
2026-05-24,23:02:13,BitGet,ALGOUSDT,,,0.11,,,,BLOCKED,BLOCKED,"Failed: RSI(14) above 70 (overbought reversal in downtrend)"
2026-05-24,23:02:13,BitGet,INJUSDT,,,5.12,,,,BLOCKED,BLOCKED,"Failed: RSI(14) above 70 (overbought reversal in downtrend)"
2026-05-24,23:02:14,BitGet,BONKUSDT,,,0.00,,,,BLOCKED,BLOCKED,"Failed: RSI(14) above 70 (overbought reversal in downtrend)"
